customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
5154-VEKBL,female,0,no,no,9,no,no phone service,dsl,yes,no,yes,yes,yes,yes,month-to-month,no,mailed check,58.5,539.85,1
9052-DHNKM,male,0,no,no,26,yes,yes,dsl,yes,yes,no,no,no,no,one year,no,electronic check,61.55,1581.95,0
2988-PLAHS,female,0,no,no,3,yes,no,dsl,no,no,yes,no,yes,yes,one year,yes,electronic check,69.95,220.45,0
1196-AMORA,male,0,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,73.6,520.0,1
6695-FRVEC,male,0,yes,yes,67,yes,no,dsl,yes,no,yes,yes,no,no,two year,yes,bank transfer (automatic),60.4,3953.7,0
3970-XGJDU,female,0,no,no,62,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),19.2,1123.65,0
4939-KYYPY,male,0,no,no,27,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic check,59.45,1611.65,0
1106-HRLKZ,male,0,yes,yes,40,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.6,808.95,0
1777-JYQPJ,male,0,no,no,2,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,24.3,38.45,0
7740-KKCXF,male,0,yes,no,51,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),30.05,1529.45,0
1074-AMIOH,female,0,yes,yes,53,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),108.25,5935.1,0
6007-TCTST,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),115.8,8476.5,0
